Neighborhood,Type,Price,Beds,Baths,Built Year,Longitude,Latitude,Link
Mission Bay,Condominium,1550000,2,2,2016,-122.39407,37.771774,https://www.zillow.com/homedetails/718-Long-Bridge-St-APT-302-San-Francisco-CA-94158/184818230_zpid/
Outer Sunset,Triplex,1625000,5,4,1953,-122.498116,37.7628,https://www.zillow.com/homedetails/3732-3736-Irving-St-San-Francisco-CA-94122/332856425_zpid/
Russian Hill,Condominium,5954000,3,4,2001,-122.42244,37.801342,https://www.zillow.com/homedetails/1275-Lombard-St-San-Francisco-CA-94109/59700072_zpid/
Russian Hill,Condominium,2500000,4,3,2002,-122.41318,37.79625,https://www.zillow.com/homedetails/1502-Taylor-St-3-San-Francisco-CA-94133/63196148_zpid/
Laurel Heights,Condominium,1668000,2,2,,-122.45435,37.785995,https://www.zillow.com/homedetails/3651-California-St-San-Francisco-CA-94118/439853102_zpid/
Mission,Mixed Use,3777000,,0,1900,-122.41718,37.761745,https://www.zillow.com/homedetails/943-S-Van-Ness-Ave-San-Francisco-CA-94110/2069803631_zpid/
Rincon Hill,Condominium,1825000,2,2,2008,-122.3912,37.789597,https://www.zillow.com/homedetails/301-Main-St-UNIT-35F-San-Francisco-CA-94105/89238996_zpid/
Civic Center,Condominium,1245000,2,2,1985,-122.42335,37.780014,https://www.zillow.com/homedetails/720-Gough-St-APT-53-San-Francisco-CA-94102/15078051_zpid/
Mission Bay,Condominium,615000,1,1,2009,-122.39623,37.77389,https://www.zillow.com/homedetails/300-Berry-St-UNIT-417-San-Francisco-CA-94158/96021416_zpid/
Mission Bay,Condominium,1550000,2,2,2016,-122.39407,37.771774,https://www.zillow.com/homedetails/718-Long-Bridge-St-APT-302-San-Francisco-CA-94158/184818230_zpid/
Outer Sunset,Triplex,1625000,5,4,1953,-122.498116,37.7628,https://www.zillow.com/homedetails/3732-3736-Irving-St-San-Francisco-CA-94122/332856425_zpid/
Russian Hill,Condominium,5954000,3,4,2001,-122.42244,37.801342,https://www.zillow.com/homedetails/1275-Lombard-St-San-Francisco-CA-94109/59700072_zpid/
Russian Hill,Condominium,2500000,4,3,2002,-122.41318,37.79625,https://www.zillow.com/homedetails/1502-Taylor-St-3-San-Francisco-CA-94133/63196148_zpid/
Laurel Heights,Condominium,1668000,2,2,,-122.45435,37.785995,https://www.zillow.com/homedetails/3651-California-St-San-Francisco-CA-94118/439853102_zpid/
Mission,Mixed Use,3777000,,0,1900,-122.41718,37.761745,https://www.zillow.com/homedetails/943-S-Van-Ness-Ave-San-Francisco-CA-94110/2069803631_zpid/
Rincon Hill,Condominium,1825000,2,2,2008,-122.3912,37.789597,https://www.zillow.com/homedetails/301-Main-St-UNIT-35F-San-Francisco-CA-94105/89238996_zpid/
Civic Center,Condominium,1245000,2,2,1985,-122.42335,37.780014,https://www.zillow.com/homedetails/720-Gough-St-APT-53-San-Francisco-CA-94102/15078051_zpid/
Mission Bay,Condominium,615000,1,1,2009,-122.39623,37.77389,https://www.zillow.com/homedetails/300-Berry-St-UNIT-417-San-Francisco-CA-94158/96021416_zpid/
Mission Bay,Condominium,1550000,2,2,2016,-122.39407,37.771774,https://www.zillow.com/homedetails/718-Long-Bridge-St-APT-302-San-Francisco-CA-94158/184818230_zpid/
Outer Sunset,Triplex,1625000,5,4,1953,-122.498116,37.7628,https://www.zillow.com/homedetails/3732-3736-Irving-St-San-Francisco-CA-94122/332856425_zpid/
Russian Hill,Condominium,5954000,3,4,2001,-122.42244,37.801342,https://www.zillow.com/homedetails/1275-Lombard-St-San-Francisco-CA-94109/59700072_zpid/
Russian Hill,Condominium,2500000,4,3,2002,-122.41318,37.79625,https://www.zillow.com/homedetails/1502-Taylor-St-3-San-Francisco-CA-94133/63196148_zpid/
Laurel Heights,Condominium,1668000,2,2,,-122.45435,37.785995,https://www.zillow.com/homedetails/3651-California-St-San-Francisco-CA-94118/439853102_zpid/
Mission,Mixed Use,3777000,,0,1900,-122.41718,37.761745,https://www.zillow.com/homedetails/943-S-Van-Ness-Ave-San-Francisco-CA-94110/2069803631_zpid/
Rincon Hill,Condominium,1825000,2,2,2008,-122.3912,37.789597,https://www.zillow.com/homedetails/301-Main-St-UNIT-35F-San-Francisco-CA-94105/89238996_zpid/
Civic Center,Condominium,1245000,2,2,1985,-122.42335,37.780014,https://www.zillow.com/homedetails/720-Gough-St-APT-53-San-Francisco-CA-94102/15078051_zpid/
Mission Bay,Condominium,615000,1,1,2009,-122.39623,37.77389,https://www.zillow.com/homedetails/300-Berry-St-UNIT-417-San-Francisco-CA-94158/96021416_zpid/
Mission Bay,Condominium,1550000,2,2,2016,-122.39407,37.771774,https://www.zillow.com/homedetails/718-Long-Bridge-St-APT-302-San-Francisco-CA-94158/184818230_zpid/
Outer Sunset,Triplex,1625000,5,4,1953,-122.498116,37.7628,https://www.zillow.com/homedetails/3732-3736-Irving-St-San-Francisco-CA-94122/332856425_zpid/
Russian Hill,Condominium,5954000,3,4,2001,-122.42244,37.801342,https://www.zillow.com/homedetails/1275-Lombard-St-San-Francisco-CA-94109/59700072_zpid/
Russian Hill,Condominium,2500000,4,3,2002,-122.41318,37.79625,https://www.zillow.com/homedetails/1502-Taylor-St-3-San-Francisco-CA-94133/63196148_zpid/
Laurel Heights,Condominium,1668000,2,2,,-122.45435,37.785995,https://www.zillow.com/homedetails/3651-California-St-San-Francisco-CA-94118/439853102_zpid/
Mission,Mixed Use,3777000,,0,1900,-122.41718,37.761745,https://www.zillow.com/homedetails/943-S-Van-Ness-Ave-San-Francisco-CA-94110/2069803631_zpid/
Rincon Hill,Condominium,1825000,2,2,2008,-122.3912,37.789597,https://www.zillow.com/homedetails/301-Main-St-UNIT-35F-San-Francisco-CA-94105/89238996_zpid/
Civic Center,Condominium,1245000,2,2,1985,-122.42335,37.780014,https://www.zillow.com/homedetails/720-Gough-St-APT-53-San-Francisco-CA-94102/15078051_zpid/
Mission Bay,Condominium,615000,1,1,2009,-122.39623,37.77389,https://www.zillow.com/homedetails/300-Berry-St-UNIT-417-San-Francisco-CA-94158/96021416_zpid/
Mission Bay,Condominium,1550000,2,2,2016,-122.39407,37.771774,https://www.zillow.com/homedetails/718-Long-Bridge-St-APT-302-San-Francisco-CA-94158/184818230_zpid/
Outer Sunset,Triplex,1625000,5,4,1953,-122.498116,37.7628,https://www.zillow.com/homedetails/3732-3736-Irving-St-San-Francisco-CA-94122/332856425_zpid/
Russian Hill,Condominium,5954000,3,4,2001,-122.42244,37.801342,https://www.zillow.com/homedetails/1275-Lombard-St-San-Francisco-CA-94109/59700072_zpid/
Russian Hill,Condominium,2500000,4,3,2002,-122.41318,37.79625,https://www.zillow.com/homedetails/1502-Taylor-St-3-San-Francisco-CA-94133/63196148_zpid/
Laurel Heights,Condominium,1668000,2,2,,-122.45435,37.785995,https://www.zillow.com/homedetails/3651-California-St-San-Francisco-CA-94118/439853102_zpid/
Rincon Hill,Condominium,1825000,2,2,2008,-122.3912,37.789597,https://www.zillow.com/homedetails/301-Main-St-UNIT-35F-San-Francisco-CA-94105/89238996_zpid/
Civic Center,Condominium,1245000,2,2,1985,-122.42335,37.780014,https://www.zillow.com/homedetails/720-Gough-St-APT-53-San-Francisco-CA-94102/15078051_zpid/
Mission Bay,Condominium,615000,1,1,2009,-122.39623,37.77389,https://www.zillow.com/homedetails/300-Berry-St-UNIT-417-San-Francisco-CA-94158/96021416_zpid/
Mission Bay,Condominium,1550000,2,2,2016,-122.39407,37.771774,https://www.zillow.com/homedetails/718-Long-Bridge-St-APT-302-San-Francisco-CA-94158/184818230_zpid/
Outer Sunset,Triplex,1625000,5,4,1953,-122.498116,37.7628,https://www.zillow.com/homedetails/3732-3736-Irving-St-San-Francisco-CA-94122/332856425_zpid/
Russian Hill,Condominium,5954000,3,4,2001,-122.42244,37.801342,https://www.zillow.com/homedetails/1275-Lombard-St-San-Francisco-CA-94109/59700072_zpid/
Russian Hill,Condominium,2500000,4,3,2002,-122.41318,37.79625,https://www.zillow.com/homedetails/1502-Taylor-St-3-San-Francisco-CA-94133/63196148_zpid/
Laurel Heights,Condominium,1668000,2,2,,-122.45435,37.785995,https://www.zillow.com/homedetails/3651-California-St-San-Francisco-CA-94118/439853102_zpid/
Mission,Mixed Use,3777000,,0,1900,-122.41718,37.761745,https://www.zillow.com/homedetails/943-S-Van-Ness-Ave-San-Francisco-CA-94110/2069803631_zpid/
Rincon Hill,Condominium,1825000,2,2,2008,-122.3912,37.789597,https://www.zillow.com/homedetails/301-Main-St-UNIT-35F-San-Francisco-CA-94105/89238996_zpid/
Civic Center,Condominium,1245000,2,2,1985,-122.42335,37.780014,https://www.zillow.com/homedetails/720-Gough-St-APT-53-San-Francisco-CA-94102/15078051_zpid/
Mission Bay,Condominium,615000,1,1,2009,-122.39623,37.77389,https://www.zillow.com/homedetails/300-Berry-St-UNIT-417-San-Francisco-CA-94158/96021416_zpid/
Mission Bay,Condominium,1550000,2,2,2016,-122.39407,37.771774,https://www.zillow.com/homedetails/718-Long-Bridge-St-APT-302-San-Francisco-CA-94158/184818230_zpid/
Outer Sunset,Triplex,1625000,5,4,1953,-122.498116,37.7628,https://www.zillow.com/homedetails/3732-3736-Irving-St-San-Francisco-CA-94122/332856425_zpid/
Russian Hill,Condominium,5954000,3,4,2001,-122.42244,37.801342,https://www.zillow.com/homedetails/1275-Lombard-St-San-Francisco-CA-94109/59700072_zpid/
Russian Hill,Condominium,2500000,4,3,2002,-122.41318,37.79625,https://www.zillow.com/homedetails/1502-Taylor-St-3-San-Francisco-CA-94133/63196148_zpid/
Laurel Heights,Condominium,1668000,2,2,,-122.45435,37.785995,https://www.zillow.com/homedetails/3651-California-St-San-Francisco-CA-94118/439853102_zpid/
Mission,Mixed Use,3777000,,0,1900,-122.41718,37.761745,https://www.zillow.com/homedetails/943-S-Van-Ness-Ave-San-Francisco-CA-94110/2069803631_zpid/
Rincon Hill,Condominium,1825000,2,2,2008,-122.3912,37.789597,https://www.zillow.com/homedetails/301-Main-St-UNIT-35F-San-Francisco-CA-94105/89238996_zpid/
Civic Center,Condominium,1245000,2,2,1985,-122.42335,37.780014,https://www.zillow.com/homedetails/720-Gough-St-APT-53-San-Francisco-CA-94102/15078051_zpid/
Mission Bay,Condominium,615000,1,1,2009,-122.39623,37.77389,https://www.zillow.com/homedetails/300-Berry-St-UNIT-417-San-Francisco-CA-94158/96021416_zpid/
Mission Bay,Condominium,1550000,2,2,2016,-122.39407,37.771774,https://www.zillow.com/homedetails/718-Long-Bridge-St-APT-302-San-Francisco-CA-94158/184818230_zpid/
Outer Sunset,Triplex,1625000,5,4,1953,-122.498116,37.7628,https://www.zillow.com/homedetails/3732-3736-Irving-St-San-Francisco-CA-94122/332856425_zpid/
Russian Hill,Condominium,5954000,3,4,2001,-122.42244,37.801342,https://www.zillow.com/homedetails/1275-Lombard-St-San-Francisco-CA-94109/59700072_zpid/
Russian Hill,Condominium,2500000,4,3,2002,-122.41318,37.79625,https://www.zillow.com/homedetails/1502-Taylor-St-3-San-Francisco-CA-94133/63196148_zpid/
Laurel Heights,Condominium,1668000,2,2,,-122.45435,37.785995,https://www.zillow.com/homedetails/3651-California-St-San-Francisco-CA-94118/439853102_zpid/
Mission,Mixed Use,3777000,,0,1900,-122.41718,37.761745,https://www.zillow.com/homedetails/943-S-Van-Ness-Ave-San-Francisco-CA-94110/2069803631_zpid/
Rincon Hill,Condominium,1825000,2,2,2008,-122.3912,37.789597,https://www.zillow.com/homedetails/301-Main-St-UNIT-35F-San-Francisco-CA-94105/89238996_zpid/
Civic Center,Condominium,1245000,2,2,1985,-122.42335,37.780014,https://www.zillow.com/homedetails/720-Gough-St-APT-53-San-Francisco-CA-94102/15078051_zpid/
Mission Bay,Condominium,615000,1,1,2009,-122.39623,37.77389,https://www.zillow.com/homedetails/300-Berry-St-UNIT-417-San-Francisco-CA-94158/96021416_zpid/
Mission Bay,Condominium,1550000,2,2,2016,-122.39407,37.771774,https://www.zillow.com/homedetails/718-Long-Bridge-St-APT-302-San-Francisco-CA-94158/184818230_zpid/
Outer Sunset,Triplex,1625000,5,4,1953,-122.498116,37.7628,https://www.zillow.com/homedetails/3732-3736-Irving-St-San-Francisco-CA-94122/332856425_zpid/
Russian Hill,Condominium,5954000,3,4,2001,-122.42244,37.801342,https://www.zillow.com/homedetails/1275-Lombard-St-San-Francisco-CA-94109/59700072_zpid/
Russian Hill,Condominium,2500000,4,3,2002,-122.41318,37.79625,https://www.zillow.com/homedetails/1502-Taylor-St-3-San-Francisco-CA-94133/63196148_zpid/
Laurel Heights,Condominium,1668000,2,2,,-122.45435,37.785995,https://www.zillow.com/homedetails/3651-California-St-San-Francisco-CA-94118/439853102_zpid/
Mission,Mixed Use,3777000,,0,1900,-122.41718,37.761745,https://www.zillow.com/homedetails/943-S-Van-Ness-Ave-San-Francisco-CA-94110/2069803631_zpid/
Rincon Hill,Condominium,1825000,2,2,2008,-122.3912,37.789597,https://www.zillow.com/homedetails/301-Main-St-UNIT-35F-San-Francisco-CA-94105/89238996_zpid/
Civic Center,Condominium,1245000,2,2,1985,-122.42335,37.780014,https://www.zillow.com/homedetails/720-Gough-St-APT-53-San-Francisco-CA-94102/15078051_zpid/
Mission Bay,Condominium,615000,1,1,2009,-122.39623,37.77389,https://www.zillow.com/homedetails/300-Berry-St-UNIT-417-San-Francisco-CA-94158/96021416_zpid/
Mission Bay,Condominium,1550000,2,2,2016,-122.39407,37.771774,https://www.zillow.com/homedetails/718-Long-Bridge-St-APT-302-San-Francisco-CA-94158/184818230_zpid/
Outer Sunset,Triplex,1625000,5,4,1953,-122.498116,37.7628,https://www.zillow.com/homedetails/3732-3736-Irving-St-San-Francisco-CA-94122/332856425_zpid/
Russian Hill,Condominium,5954000,3,4,2001,-122.42244,37.801342,https://www.zillow.com/homedetails/1275-Lombard-St-San-Francisco-CA-94109/59700072_zpid/
Russian Hill,Condominium,2500000,4,3,2002,-122.41318,37.79625,https://www.zillow.com/homedetails/1502-Taylor-St-3-San-Francisco-CA-94133/63196148_zpid/
Laurel Heights,Condominium,1668000,2,2,,-122.45435,37.785995,https://www.zillow.com/homedetails/3651-California-St-San-Francisco-CA-94118/439853102_zpid/
Mission,Mixed Use,3777000,,0,1900,-122.41718,37.761745,https://www.zillow.com/homedetails/943-S-Van-Ness-Ave-San-Francisco-CA-94110/2069803631_zpid/
Rincon Hill,Condominium,1825000,2,2,2008,-122.3912,37.789597,https://www.zillow.com/homedetails/301-Main-St-UNIT-35F-San-Francisco-CA-94105/89238996_zpid/
Civic Center,Condominium,1245000,2,2,1985,-122.42335,37.780014,https://www.zillow.com/homedetails/720-Gough-St-APT-53-San-Francisco-CA-94102/15078051_zpid/
Mission Bay,Condominium,615000,1,1,2009,-122.39623,37.77389,https://www.zillow.com/homedetails/300-Berry-St-UNIT-417-San-Francisco-CA-94158/96021416_zpid/
Mission Bay,Condominium,1550000,2,2,2016,-122.39407,37.771774,https://www.zillow.com/homedetails/718-Long-Bridge-St-APT-302-San-Francisco-CA-94158/184818230_zpid/
Outer Sunset,Triplex,1625000,5,4,1953,-122.498116,37.7628,https://www.zillow.com/homedetails/3732-3736-Irving-St-San-Francisco-CA-94122/332856425_zpid/
Russian Hill,Condominium,5954000,3,4,2001,-122.42244,37.801342,https://www.zillow.com/homedetails/1275-Lombard-St-San-Francisco-CA-94109/59700072_zpid/
Russian Hill,Condominium,2500000,4,3,2002,-122.41318,37.79625,https://www.zillow.com/homedetails/1502-Taylor-St-3-San-Francisco-CA-94133/63196148_zpid/
Laurel Heights,Condominium,1668000,2,2,,-122.45435,37.785995,https://www.zillow.com/homedetails/3651-California-St-San-Francisco-CA-94118/439853102_zpid/
Mission,Mixed Use,3777000,,0,1900,-122.41718,37.761745,https://www.zillow.com/homedetails/943-S-Van-Ness-Ave-San-Francisco-CA-94110/2069803631_zpid/
Rincon Hill,Condominium,1825000,2,2,2008,-122.3912,37.789597,https://www.zillow.com/homedetails/301-Main-St-UNIT-35F-San-Francisco-CA-94105/89238996_zpid/
Civic Center,Condominium,1245000,2,2,1985,-122.42335,37.780014,https://www.zillow.com/homedetails/720-Gough-St-APT-53-San-Francisco-CA-94102/15078051_zpid/
Mission Bay,Condominium,615000,1,1,2009,-122.39623,37.77389,https://www.zillow.com/homedetails/300-Berry-St-UNIT-417-San-Francisco-CA-94158/96021416_zpid/
Mission Bay,Condominium,1550000,2,2,2016,-122.39407,37.771774,https://www.zillow.com/homedetails/718-Long-Bridge-St-APT-302-San-Francisco-CA-94158/184818230_zpid/
Outer Sunset,Triplex,1625000,5,4,1953,-122.498116,37.7628,https://www.zillow.com/homedetails/3732-3736-Irving-St-San-Francisco-CA-94122/332856425_zpid/
Russian Hill,Condominium,5954000,3,4,2001,-122.42244,37.801342,https://www.zillow.com/homedetails/1275-Lombard-St-San-Francisco-CA-94109/59700072_zpid/
Russian Hill,Condominium,2500000,4,3,2002,-122.41318,37.79625,https://www.zillow.com/homedetails/1502-Taylor-St-3-San-Francisco-CA-94133/63196148_zpid/
Laurel Heights,Condominium,1668000,2,2,,-122.45435,37.785995,https://www.zillow.com/homedetails/3651-California-St-San-Francisco-CA-94118/439853102_zpid/
Mission,Mixed Use,3777000,,0,1900,-122.41718,37.761745,https://www.zillow.com/homedetails/943-S-Van-Ness-Ave-San-Francisco-CA-94110/2069803631_zpid/
Rincon Hill,Condominium,1825000,2,2,2008,-122.3912,37.789597,https://www.zillow.com/homedetails/301-Main-St-UNIT-35F-San-Francisco-CA-94105/89238996_zpid/
Civic Center,Condominium,1245000,2,2,1985,-122.42335,37.780014,https://www.zillow.com/homedetails/720-Gough-St-APT-53-San-Francisco-CA-94102/15078051_zpid/
Mission Bay,Condominium,615000,1,1,2009,-122.39623,37.77389,https://www.zillow.com/homedetails/300-Berry-St-UNIT-417-San-Francisco-CA-94158/96021416_zpid/
